CASEID,YEAR,STATEFIP,EMPSTAT,PED,SED_EAT,ANYSECDRK,ANYSECEAT,ACTIVITY,DURATION,SED_EAT_LN,START
20060111050935,2006,12,1,120,15,2,1,50101,45,0,16:00:00
20060111050935,2006,12,1,120,15,2,1,50101,45,0,17:15:00
20060111050968,2006,12,1,20,2,1,1,50101,240,0,7:36:00
20060111050968,2006,12,1,20,2,1,1,50101,270,2,12:06:00
20060111051026,2006,13,1,70,0,2,2,50101,20,0,8:47:00
20060111051026,2006,13,1,70,0,2,2,50101,173,0,9:37:00
20060111051026,2006,13,1,70,0,2,2,50101,90,0,13:00:00
20060111051026,2006,13,1,70,0,2,2,50101,15,0,15:00:00
20060111051026,2006,13,1,70,0,2,2,50101,45,0,18:38:00
20060111051026,2006,13,1,70,0,2,2,50101,22,0,20:18:00
20060111051054,2006,17,1,60,380,2,1,50101,380,380,5:25:00
20060111051054,2006,17,1,60,380,2,1,50101,165,0,12:45:00
20060111051071,2006,17,1,35,60,1,1,50101,579,60,7:21:00
20060111051073,2006,17,1,30,0,1,2,50101,615,0,7:45:00
20060111051078,2006,17,1,60,5,2,1,50101,235,0,7:30:00
20060111051078,2006,17,1,60,5,2,1,50101,185,0,12:25:00
20060111051124,2006,17,1,65,10,1,1,50101,20,0,13:25:00
20060111051136,2006,17,1,90,30,2,1,50101,300,0,4:00:00
20060111051136,2006,17,1,90,30,2,1,50102,120,0,10:10:00
20060111051136,2006,17,1,90,30,2,1,50102,170,10,13:40:00
20060111051139,2006,17,1,101,0,1,2,50101,90,0,9:00:00
20060111051139,2006,17,1,101,0,1,2,50101,170,0,10:40:00
20060111051139,2006,17,1,101,0,1,2,50101,145,0,14:30:00
20060111051142,2006,18,1,22,0,2,2,50101,150,0,8:30:00
20060111051142,2006,18,1,22,0,2,2,50101,298,0,11:02:00
20060111051142,2006,18,1,22,0,2,2,50101,25,0,16:05:00
20060111051143,2006,18,1,55,0,2,2,50101,252,0,4:48:00
20060111051143,2006,18,1,55,0,2,2,50101,225,0,9:15:00
20060111051171,2006,18,1,30,0,97,2,50101,503,0,7:07:00
20060111051215,2006,21,1,40,21,1,1,50101,196,0,7:14:00
20060111051215,2006,21,1,40,21,1,1,50101,90,0,10:40:00
20060111051215,2006,21,1,40,21,1,1,50101,145,0,12:35:00
20060111051215,2006,21,1,40,21,1,1,50101,210,0,15:10:00
20060111051222,2006,21,1,30,0,2,2,50101,20,0,18:00:00
20060111051222,2006,21,1,30,0,2,2,50101,240,0,18:20:00
20060111051222,2006,21,1,30,0,2,2,50101,180,0,22:55:00
20060111051223,2006,21,1,45,0,2,2,50101,75,0,20:15:00
20060111051236,2006,22,1,35,15,1,1,50101,210,0,4:00:00
20060111051238,2006,22,1,60,15,1,1,50101,250,0,7:50:00
20060111051238,2006,22,1,60,15,1,1,50101,210,0,13:00:00
20060111051246,2006,22,1,70,30,1,1,50101,209,5,8:01:00
20060111051246,2006,22,1,70,30,1,1,50101,290,5,12:40:00
20060111051246,2006,22,1,70,30,1,1,50101,180,0,18:00:00
20060111051264,2006,24,1,7,5,1,1,50101,7,0,10:07:00
20060111051264,2006,24,1,7,5,1,1,50101,612,5,10:18:00
20060111051270,2006,24,1,82,0,2,2,50101,180,0,10:00:00
20060111051270,2006,24,1,82,0,2,2,50101,133,0,14:17:00
20060111051270,2006,24,1,82,0,2,2,50101,110,0,16:40:00
20060111051270,2006,24,1,82,0,2,2,50101,60,0,20:35:00
20060111051276,2006,24,1,30,0,2,2,50101,60,0,11:10:00
20060111051276,2006,24,1,30,0,2,2,50101,60,0,12:15:00
20060111051281,2006,25,1,60,30,1,1,50101,240,0,8:00:00
20060111051281,2006,25,1,60,30,1,1,50101,540,30,13:00:00
20060111051289,2006,25,1,30,15,1,1,50101,20,0,10:10:00
