CASEID,YEAR,STATEFIP,PED,SED_EAT,ANYSECEAT,ACTIVITY,DURATION,START
20060605062337,2006,55,0,5,1,50101,265,4:35:00
20060605062337,2006,55,0,5,1,50102,180,11:00:00
20060605062337,2006,55,0,5,1,50101,60,16:00:00
20060605062337,2006,55,0,5,1,50101,15,21:45:00
20060605062351,2006,55,45,15,1,50101,285,11:15:00
20060605062362,2006,8,90,0,2,60101,180,6:25:00
20060605062362,2006,8,90,0,2,60101,255,10:15:00
20060605062363,2006,8,65,0,2,50101,60,6:05:00
20060605062363,2006,8,65,0,2,50101,120,7:05:00
20060605062363,2006,8,65,0,2,50101,160,9:20:00
20060605062363,2006,8,65,0,2,50101,70,12:20:00
20060605062363,2006,8,65,0,2,50101,75,13:45:00
20060605062382,2006,9,125,0,2,50101,345,9:15:00
20060605062382,2006,9,125,0,2,50101,90,16:30:00
20060605062385,2006,9,57,2,1,60101,275,7:05:00
20060605062385,2006,9,57,2,1,60101,128,12:22:00
20060605062388,2006,9,105,1,1,50101,180,8:30:00
20060605062388,2006,9,105,1,1,50101,285,12:30:00
20060605062400,2006,19,75,2,1,50101,165,6:45:00
