CASEID,YEAR,FIPS,SED_EAT_TOTAL,SED_WORKING_TOTAL,PRIME_EAT
20060201061673,2006,36,20,20,60
20060201061675,2006,36,30,0,360
20060201061696,2006,36,180,60,135
20060201061702,2006,36,0,0,220
20060201061705,2006,36,0,0,300
20060201061707,2006,36,40,0,40
20060201061708,2006,36,0,0,412
20060201061727,2006,36,20,10,240
20060201061730,2006,36,30,0,285
20060201061749,2006,37,0,0,120
20060201061755,2006,37,0,0,20
20060201061770,2006,37,20,0,120
20060201061771,2006,37,3,1,153
20060201061784,2006,37,0,0,160
20060201061786,2006,37,0,0,460
20060201061794,2006,37,15,5,240
20060201061795,2006,37,50,0,80
20060201061798,2006,37,15,5,153
20060201061801,2006,37,50,10,30
20060201061804,2006,38,0,0,120
20060201061808,2006,39,0,0,480
20060201061810,2006,39,40,20,100
20060201061816,2006,39,160,40,120
20060201061853,2006,39,30,0,40
20060201061864,2006,39,15,0,90
20060201061874,2006,39,20,0,150
20060201061879,2006,39,60,5,35
20060201061884,2006,40,0,0,412
20060201061911,2006,41,75,75,0
20060201061930,2006,42,360,0,360
20060201061933,2006,42,10,0,390
20060201061937,2006,42,25,20,63
20060201061942,2006,42,0,0,110
20060201061952,2006,42,0,0,240
20060201061959,2006,42,10,0,30
20060201061962,2006,42,15,5,0
20060201061969,2006,42,125,10,0
20060201061972,2006,42,0,0,140
20060201061977,2006,42,0,0,220
20060201061978,2006,42,0,0,200
20060201061979,2006,42,36,18,310
20060201061980,2006,42,10,0,70
20060201061994,2006,42,0,0,270
20060201062002,2006,42,10,0,60
20060201062024,2006,45,60,0,60
20060201062026,2006,45,0,0,450
20060201062028,2006,45,20,0,15
20060201062031,2006,45,0,0,270
20060201062040,2006,46,17,2,0
20060201062049,2006,47,0,0,30
20060201062054,2006,47,45,0,270
20060201062058,2006,47,0,0,80
20060201062059,2006,47,145,0,60
20060201062065,2006,47,0,0,90
20060201062066,2006,47,0,0,300
20060201062089,2006,48,20,10,120
20060201062096,2006,48,25,5,365
20060201062097,2006,48,10,0,180
20060201062103,2006,48,30,15,30
20060201062105,2006,48,25,0,85
20060201062114,2006,48,165,0,285
20060201062134,2006,48,0,0,320
20060201062136,2006,48,32,16,120
20060201062146,2006,48,0,0,420
20060201062169,2006,48,0,0,200
20060201062171,2006,48,20,5,90
20060201062177,2006,48,0,0,80
20060201062182,2006,48,0,0,310
20060201062187,2006,48,0,0,180
20060201062190,2006,48,0,0,230
20060201062199,2006,48,25,25,30
20060201062218,2006,48,60,0,180
20060201062221,2006,48,976,2,120
20060201062226,2006,48,0,0,270
20060201062233,2006,49,30,0,60
20060201062235,2006,49,795,600,20
20060201062237,2006,49,50,0,225
20060201062240,2006,49,0,0,255
20060201062243,2006,49,210,0,240
20060201062251,2006,51,125,25,220
20060201062252,2006,51,25,5,35
20060201062270,2006,51,0,0,300
20060201062279,2006,51,0,0,180
20060201062282,2006,51,0,0,200
20060201062297,2006,53,0,0,110
20060201062303,2006,53,0,0,240
20060201062312,2006,53,60,20,90
20060201062313,2006,53,0,0,125
20060201062321,2006,53,60,0,360
20060201062322,2006,53,15,5,150
20060201062348,2006,54,100,10,600
20060201062351,2006,55,40,0,46
20060201062352,2006,55,10,0,30
20060201062364,2006,55,24,2,150
20060201062365,2006,55,0,0,220
20060201062370,2006,55,585,0,0
20060201062371,2006,55,120,10,360
20060201062374,2006,55,15,0,45
20060201062379,2006,55,0,0,120
20060201062385,2006,8,0,0,160
